repository,issue_creator,author,number,title,state,createdAt
kostiuk-task-1,kostiuk,kostiuk,5,Exercise 1.5 - Average,CLOSED,2025-09-02T18:31:30Z
kostiuk-task-1,kostiuk,kostiuk,4,Exercise 1.4 - Difference,CLOSED,2025-09-02T18:31:13Z
kostiuk-task-1,kostiuk,kostiuk,3,Exercise 1.3 - Sum,CLOSED,2025-09-02T18:30:52Z
kostiuk-task-1,kostiuk,kostiuk,2,Exercise 1.2 - Arithmetic.java,CLOSED,2025-09-02T18:30:20Z
kostiuk-task-1,kostiuk,kostiuk,1,"Exercise 1.1 - Hello, World!",CLOSED,2025-09-02T18:29:47Z
sofiatl-task-1,sofiatl,sofiatl,5,Exercise 1.5 -- Average,CLOSED,2025-09-03T09:10:54Z
sofiatl-task-1,sofiatl,sofiatl,4,Exercise 1.4 -- Difference,CLOSED,2025-09-03T09:10:23Z
sofiatl-task-1,sofiatl,sofiatl,3,Exercise 1.3 -- Sum,CLOSED,2025-09-03T09:09:34Z
sofiatl-task-1,sofiatl,sofiatl,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-03T09:09:14Z
sofiatl-task-1,sofiatl,sofiatl,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-03T09:08:48Z
sssuresh-task-1,sssuresh,sssuresh,3,Exercise 1.4 -- Difference,OPEN,2025-09-04T23:25:31Z
sssuresh-task-1,sssuresh,sssuresh,2,Exercise 1.3 -- Sum,OPEN,2025-09-04T23:15:43Z
sssuresh-task-1,sssuresh,sssuresh,1,Exercise 1.2 -- Arithmetic.java!,OPEN,2025-09-04T23:05:43Z
louiseul-task-1,louiseul,louiseul,5,average,CLOSED,2025-09-04T08:52:55Z
louiseul-task-1,louiseul,louiseul,4,difference,CLOSED,2025-09-04T08:52:35Z
louiseul-task-1,louiseul,louiseul,3,Sum,CLOSED,2025-09-04T08:52:19Z
louiseul-task-1,louiseul,louiseul,2,Arithmetic,CLOSED,2025-09-04T08:51:55Z
louiseul-task-1,louiseul,louiseul,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-04T08:34:26Z
tsjia-task-1,tsjia,tsjia,5,Exercise 1.5 -- Average,CLOSED,2025-09-02T17:44:54Z
tsjia-task-1,tsjia,tsjia,4,Exercise 1.4 -- Difference,CLOSED,2025-09-02T17:29:09Z
tsjia-task-1,tsjia,tsjia,3,Exercise 1.3 -- Sum,CLOSED,2025-09-02T17:26:58Z
tsjia-task-1,tsjia,tsjia,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-02T16:32:44Z
